абатства	аббатства	0.894
абатство	аббатство	0.908
аби	дабы	0.758
або	либо	0.679
абонентів	абонентов	0.890
аборигенів	аборигенов	0.900
абревіатура	аббревиатура	0.883
абсолютна	абсолютная	0.864
абсолютний	абсолютный	0.897
абсолютної	абсолютной	0.867
абсолютну	абсолютное	0.773
абхазії	абхазии	0.843
аварії	аварии	0.892
аварій	аварий	0.917
аварійного	аварийного	0.902
аварію	аварию	0.887
аварія	авария	0.904
августа	августом	0.732
август	августом	0.718
аверсі	аверсе	0.850
авіакомпанії	авиакомпании	0.903
авіакомпанія	авиакомпания	0.927
авіаносець	авианосец	0.871
авіаносці	авианосцы	0.866
авіаносців	авианосцев	0.904
авіаносця	авианосца	0.883
авіацією	авиацией	0.859
авіаційна	авиационная	0.765
авіаційне	авиационное	0.768
авіаційний	авиационный	0.776
авіаційних	авиационных	0.817
авіаційні	авиационные	0.746
авіаційного	авиационного	0.821
авіаційної	авиационной	0.801
авіаційному	авиационном	0.773
авіаційну	авиационную	0.761
авіація	авиация	0.907
австралії	австралии	0.919
австралійська	австралийская	0.848
австралійський	австралийский	0.909
австралійських	австралийских	0.917
австралійського	австралийского	0.918
австралійської	австралийской	0.876
австралію	австралию	0.928
австралія	австралия	0.938
австрією	австрией	0.887
австрії	австрии	0.901
австрійська	австрийская	0.846
австрійський	австрийский	0.910
австрійським	австрийским	0.886
австрійських	австрийских	0.922
австрійській	австрийской	0.816
австрійського	австрийского	0.918
австрійської	австрийской	0.870
австрійському	австрийском	0.808
австрійською	австрийской	0.792
австрію	австрию	0.929
австрія	австрия	0.937
австро-угорської	австро-венгерской	0.793
австро-угорщина	австро-венгрия	0.729
австро-угорщини	австро-венгрии	0.768
автобіографія	автобиография	0.903
автобуси	автобусы	0.919
автобусів	автобусов	0.894
автомагістралі	автомагистрали	0.892
автомагістраль	автомагистраль	0.902
автомати	автоматы	0.892
автоматизації	автоматизации	0.939
автоматизація	автоматизация	0.934
автоматизованих	автоматизированных	0.871
автоматична	автоматическая	0.784
автоматичне	автоматическое	0.791
автоматичний	автоматический	0.834
автоматичних	автоматических	0.837
автоматичні	автоматические	0.788
автоматично	автоматически	0.825
автоматичного	автоматического	0.858
автоматичної	автоматической	0.792
автоматичною	автоматической	0.763
автоматів	автоматов	0.868
автомобілем	автомобилем	0.939
автомобілі	автомобили	0.926
автомобілів	автомобилей	0.875
автомобіль	автомобиль	0.945
автомобільна	автомобильная	0.869
автомобільний	автомобильный	0.892
автомобільних	автомобильных	0.889
автомобільні	автомобильные	0.859
автомобільній	автомобильной	0.852
автомобільного	автомобильного	0.950
автомобільної	автомобильной	0.892
автомобіля	автомобиля	0.951
автомобілях	автомобилях	0.933
автономії	автономии	0.926
автономію	автономию	0.949
автономна	автономная	0.885
автономний	автономный	0.881
автономних	автономных	0.906
автономній	автономной	0.767
автономної	автономной	0.858
автопортрет	портрет	0.730
автори	авторы	0.885
авторитету	авторитета	0.864
авторів	авторов	0.911
авторка	автора	0.737
авторська	авторская	0.853
авторське	авторское	0.816
авторський	авторский	0.887
авторських	авторских	0.893
авторські	авторские	0.845
авторського	авторского	0.908
авторської	авторской	0.859
автосалоні	автосалоне	0.898
агенти	агенты	0.899
агентів	агентов	0.892
агітації	агитации	0.898
агломерації	агломерации	0.863
аграрна	аграрный	0.734
аграрних	аграрной	0.749
аграрної	аграрной	0.899
агрегати	агрегаты	0.876
агрегатів	агрегатов	0.911
агресії	агрессии	0.838
агропромислового	агропромышленного	0.830
адаптації	адаптации	0.898
адаптація	адаптация	0.912
адвокатів	адвокатов	0.894
ад-дін	ад-дин	0.880
адже	даже	0.740
адміністративна	административная	0.828
адміністративне	административное	0.771
адміністративний	административный	0.857
адміністративним	административным	0.829
адміністративних	административных	0.902
адміністративні	административные	0.871
адміністративно	административно	0.818
адміністративного	административного	0.867
адміністративної	административной	0.892
адміністративному	административном	0.788
адміністративно-територіальна	административно-территориальная	0.806
адміністративно-територіальний	административно-территориальное	0.795
адміністративно-територіального	административно-территориальном	0.813
адміністративною	административной	0.807
адміністративну	административную	0.882
адміністратор	администратор	0.895
адміністратором	администратором	0.900
адміністрацією	администрацией	0.847
адміністрації	администрации	0.874
адміністрацію	администрацию	0.865
адміністрація	администрация	0.844
адміністрування	администрирования	0.805
адмірала	адмирала	0.921
адрес	адреса	0.816
адреси	адреса	0.803
адресою	адресу	0.800
адресу	адрес	0.848
адріана	адриана	0.862
адріан	адриан	0.908
адріано	адриано	0.882
аеродром	аэродром	0.902
аеродромі	аэродроме	0.849
аеродрому	аэродрома	0.836
аеропорт	аэропорт	0.892
